Species	Min.depth	Max.depth	Generation	Leaf.max.lenght	Leaf.max.width	repro.pc1	repro.pc2						
Amphibolis_antarctica	1	22	10	50	5	4.470075118	-1.000380698						
Amphibolis_griffithii	1	56	10	80	5	4.470075118	-1.000380698						
Cymodocea_angustata	1	7	3	15	5	-0.251245989	-0.959504775						
Cymodocea_nodosa	0	40	3	600	4	-0.182357298	-0.972601826						
Cymodocea_rotundata	0	10	3	160	5	-0.113468607	-0.985698876						
Enhalus_acoroides	0	5	3	1500	15	1.519975893	-0.409515406						
Halodule_bermudensis	0	5	2	250	1.25	-0.354579025	-0.9398592						
Halodule_ciliata	0	10	2	150	1	-0.354579025	-0.9398592						
Halodule_emarginata	0	10	3	120	2	-0.354579025	-0.9398592						
Halodule_pinifolia	0	7	3	166	0.8	-0.354579025	-0.9398592						
Halodule_uninervis	0	20	3	139	4	-0.371801198	-0.936584937						
Halodule_wrightii	0	18	3	400	10	-0.371801198	-0.936584937						
Halophila_australis	1	15	4	70	20	-1.464698762	-0.569598406						
Halophila_baillonis	0	15	1	22	8	-1.306432609	-0.622761134						
Halophila_beccarii	0	5	1	11	20	-1.364735334	1.306989457						
Halophila_capricorni	21	54	1	30	9	-1.364735334	1.306989457						
Halophila_decipiens	1	58	1	250	60	-0.932992307	1.155686932						
Halophila_engelmannii	1	5	1	30	6	-1.306432609	-0.622761134						
Halophila_hawaiiana	1	5	2	20	5	-1.364735334	1.306989457						
Halophila_johnsonii	0	4	1	25	4	-1.306432609	-0.622761134						
Halophila_major	0	7	1	300	15	-1.306432609	-0.622761134						
Halophila_minor	0	8	4	10	5	-1.306432609	-0.622761134						
Halophila_nipponica	0	8	4	30	13	-0.874689583	-0.774063658						
Halophila_ovalis	0	20	1	180	70	-0.847134106	-0.779302479						
Halophila_spinulosa	0	60	2	20	3.5	-0.874689583	-0.774063658						
Halophila_stipulacea	0	70	1	60	10	-1.306432609	-0.622761134						
Halophila_sulawesii	10	30	1	50	10	-1.364735334	1.306989457						
Halophila_tricostata	0	45	1	20	4	-1.306432609	-0.622761134						
Oceana_serrulata	0	20	3	300	10	-0.113468607	-0.985698876						
Phyllospadix_iwatensis	0	5	6	600	5	-0.079024261	-0.992247401						
Phyllospadix_japonicus	0	10	6	900	7	-0.216801643	-0.966053301						
Phyllospadix_scouleri	0	5	6	2000	4	-0.182357298	-0.972601826						
Phyllospadix_serrulatus	1.5	5	6	600	3	-0.079024261	-0.992247401						
Phyllospadix_torreyi	0	10	6	3000	4	-0.079024261	-0.992247401						
Posidonia_angustifolia	2	50	5	600	7	1.371880129	1.551150542						
Posidonia_australis	0	22	5	600	20	1.44076882	1.538053492						
Posidonia_denhartogii	2	35	15	1000	2	1.371880129	1.551150542						
Posidonia_kirkmanii	2	40	15	600	12	1.371880129	1.551150542						
Posidonia_oceanica	1	45	35	1200	12	1.027436674	1.616635794						
Posidonia_ostenfeldii	5	30	15	1800	1.5	1.371880129	1.551150542						
Posidonia_sinuosa	1	15	20	1400	11	1.371880129	1.551150542						
Syringodium_filiforme	0	20	3	200	2	-0.182357298	-0.972601826						
Syringodium_isoetifolium	0	15	3	550	4	-0.182357298	-0.972601826						
Thalassia_hemprichii	0	5	6	80	4	1.250359972	-0.369792952						
Thalassia_testudinum	0	10	8	300	10	1.250359972	-0.369792952						
Thalassodendron_ciliatum	0	33	8	90	8	2.747857845	-0.672954438						
Thalassodendron_pachyrhizum	2	60	10	90	3.5	2.747857845	-0.672954438						
Zostera_asiatica	2	15	5	600	5	-0.378437404	0.983342866						
Zostera_caespitosa	3	8	1	400	4	-0.378437404	0.983342866						
Zostera_capensis	0	6	4	450	6	-0.430103922	0.993165654						
Zostera_caulescens	3	16	2	1000	11	-0.378437404	0.983342866						
Zostera_japonica	0	3	1	200	4	-0.378437404	0.983342866						
Zostera_marina	0	15	1	900	23	-0.378437404	0.983342866						
Zostera_muelleri	0	7	2	100	3	-0.457659398	0.998404474						
Zostera_nigricaulis	0	15	3	500	5	-0.378437404	0.983342866						
Zostera_noltii	0	10	1	250	1.5	-0.447326095	0.996439916						
Zostera_polychlamys	1	48	2	450	4	-0.378437404	0.983342866						
Zostera_tasmanica	0	12	2	300	4	-0.378437404	0.983342866						
