Species	Leaf.max.lenght (mm)	Leaf.max.lenght reference	Leaf.max.width (mm)	Leaf.max.width reference	Reproduction.mode	Reproduction.mode reference	Seed.bank.type	Seed.bank.type	Seed.max.size (mm)	Seed.max.size reference	Seeds.per.fruit 	Seeds.per.fruit  reference		
Amphibolis antarctica	50	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	5	Larkum, A.W.D., McComb, A.J., & Sheperd, S.A. (1989). Biology of seagrasses: a treatise on the biology of seagrasses with special reference to the Australian region. Elsevier.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	100	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Amphibolis griffithii	80	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	5	Larkum, A.W.D., McComb, A.J., & Sheperd, S.A. (1989). Biology of seagrasses: a treatise on the biology of seagrasses with special reference to the Australian region. Elsevier.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	None	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	100	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Cymodocea angustata	150	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	6	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	6	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Cymodocea nodosa	600	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	4	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Caye, G., & Meinesz, A. (1985). Observations on the vegetative development, flowering and seeding of Cymodocea nodosa (Ucria) Ascherson on the Mediterranean coasts of France. Aquatic Botany, 22(3-4), 277-289.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	8	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	1	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.		
Cymodocea rotundata	160	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	4	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Arriesgado, D.M., Kurokochi, H., Nakajima, Y., Matsuki, Y., Uy, W.H., Fortes, M.D., Campos, W.L., Nadaoka, K., & Lian, C. (2016). Population genetic diversity and structure of a dominant tropical seagrass, Cymodocea rotundata, in the Western Pacific region. Marine Ecology, 37, 786–800.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	10	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Enhalus acoroides	1500	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	17,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Rollón, R. N., Van Steveninck, E. D. D. R., & van Vierssen, W. (2003). Spatio-temporal variation in sexual reproduction of the tropical seagrass Enhalus acoroides (Lf) Royle in Cape Bolinao, NW Philippines. Aquatic Botany, 76(4), 339-354.	None	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	20	Artika, S. R., R. Ambo-Rappe, M. Teichberg, A. Moreira-Saporiti & I. G. Viana, 2020. Morphological and physiological responses of Enhalus acoroides seedlings under varying temperature and nutrient treatment. Frontiers in Marine Science 7: 325.	14	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halodule bermudensis	250	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1,25	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Ferrer-Gallego P. P., & Boisset F. (2020). A revision of the typification of some names in the seagrass genera Amphibolis, Cymodocea, Halodule and Syringodium (Cymodoceaceae).  Willdenowia 50: 173–186. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	3	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halodule ciliata	150	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Ferrer-Gallego P. P., & Boisset F. (2020). A revision of the typification of some names in the seagrass genera Amphibolis, Cymodocea, Halodule and Syringodium (Cymodoceaceae).  Willdenowia 50: 173–186. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	3	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halodule emarginata	120	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Ferrer-Gallego P. P., & Boisset F. (2020). A revision of the typification of some names in the seagrass genera Amphibolis, Cymodocea, Halodule and Syringodium (Cymodoceaceae).  Willdenowia 50: 173–186. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	3	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halodule pinifolia	166	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Bujang, J. S., Zakaria, M. H., ARshad, A., Lam, S. L., & Ogawa, H. (2006). Flowers and sexes in Malaysian seagrasses. Coastal Marine Science, 30(1), 184-188.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	3	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
